keys,zh,en
文本设置,文本设置,Text Settings
界面设置,界面设置,Interface Settings
声音设置,声音设置,Sound Settings
快捷键设置,快捷键设置,Shortcut key settings
其他设置,其他设置,Other settings
主音量,主音量,Master volume
全屏模式,全屏模式,Full screen
画面窗口化,画面窗口化,Windowed Mode
返回,返回,Back
CG显示,CG显示,CG Show
人物语音启用,人物语音启用,Character voice activation
音效启用,音效启用,Sound Effects
,,
全局音量,全局音量,Global volume control
背景音乐名,背景音乐名,BGM name display
BGM启用,BGM启用,BGM enabled
保存,保存,Save
读取,读取,Load
游戏树,游戏树,Game Tree
音乐,音乐,Music
清除所有存档,清除所有存档,Clear all saves
返回主菜单,返回主菜单,Back to menu
关闭页面,关闭页面,Close page
退出游戏,退出游戏,Quit Game
确定执行此操作吗？,确定执行此操作吗？,Are you sure to perform this action?
确定要退出游戏吗？,确定要退出游戏吗？,Are you sure to quit the game?
确定要清除所有存档吗？,确定要清除所有存档吗？,Are you sure to delete all saves?
确定要返回主菜单吗？\n当前进度将不会保留,确定要返回主菜单吗？\\n当前进度将不会保留,Are you sure to return to main menu?\n(Current progress will not be saved)
确定要覆盖存档槽 %d 吗？,确定要覆盖存档槽 %d 吗？,Overwrite slot %d?
确定要读取存档槽 %d 吗？,确定要读取存档槽 %d 吗？,Load from slot %d?
开始游戏,开始游戏,Start the game
读取存档,读取存档,Loading a Save
游戏设置,游戏设置,Game Settings
画廊鉴赏,画廊鉴赏,Cutscenes
尚未解锁，请开始游戏,尚未解锁，请开始游戏,"Not yet unlocked, please start the game."
与Alicia相遇,与Alicia相遇,Meeting Alicia
Alicia的夜谈，她似乎有什么秘密,Alicia的夜谈，她似乎有什么秘密,Alicia's late-night conversation; she seems to have some secret.
Alicia夜谈以解锁,Alicia夜谈以解锁,late-night chat with Alicia to unlock
神秘的护符，似乎是某位被袭击的旅人所掉。可以让骰子的次数增加（dice6 +1）,神秘的护符，似乎是某位被袭击的旅人所掉。可以让骰子的次数增加（dice6 +1）,"A mysterious amulet, seemingly dropped by a traveler who was attacked. It increases the number of dice rolls (dice6 +1)."
一把锋利的铁剑。使用后永久提升力量。,一把锋利的铁剑。使用后永久提升力量。,A sharp iron sword. Permanently increases strength upon use.
与露西亚对话以解锁,与露西亚对话以解锁,Talk to Lucia to unlock
初次遇到露西亚,初次遇到露西亚,First meeting with Lucia
未解锁：暂无解锁条件说明,未解锁：暂无解锁条件说明,Not unlocked: No unlocking conditions specified at present.
已解锁：暂无额外说明,已解锁：暂无额外说明,Unlocked: No further explanation available.
与艾莉西亚外出去城镇以解锁，路上似乎有一些不平凡,与艾莉西亚外出去城镇以解锁，路上似乎有一些不平凡,Go out to town with Alicia to unlock things; something unusual seems to happen along the way.
与艾莉西亚外出，遇到了魔兽！,与艾莉西亚外出，遇到了魔兽！,"While out with Alicia, encountered a monster!"
在城镇的医务摊包扎伤口,在城镇的医务摊包扎伤口,Bandaging wounds at a medical stall in town.
被魔兽伤害后到城镇以解锁,被魔兽伤害后到城镇以解锁,Go to town after being damaged by a monster to unlock
与艾莉西亚一起吃烤鱼,与艾莉西亚一起吃烤鱼,Eating grilled fish with Alicia
完好无损的到达城镇以解锁,完好无损的到达城镇以解锁,Arrive in town intact to unlock
艾莉西亚被抓走了，拯救大行动！,艾莉西亚被抓走了，拯救大行动！,Alicia has been kidnapped! A massive rescue operation is underway!
到达第二晚以解锁,到达第二晚以解锁,Arrive on the second night to unlock
到达第三天早上以解锁,到达第三天早上以解锁,Arrive on the morning of the third day to unlock
暴风雨前的宁静,暴风雨前的宁静,The calm before the storm
暴风雨来临,暴风雨来临,A storm is coming
艾莉西亚的战死,艾莉西亚的战死,Alicia's death in battle
存档槽,存档槽,Save slot
🎵 当前BGM：无,🎵 当前BGM：无,🎵 Current background music: None
🎵 当前BGM：,🎵 当前BGM：,🎵 Current background music:
